DateTime,Month,Day,DoW,Date,Time,Strengths,Firsts,Lasts,Minimums,Maximums
2018-11-04 05:00:00,November,Sunday,1,2018-11-04,05:00:00,00:10:49,00:10:59,00:10:47,00:10:01,00:12:37
2018-11-04 05:15:00,November,Sunday,1,2018-11-04,05:15:00,00:10:49,00:10:57,00:10:42,00:09:59,00:12:37
2018-11-04 05:30:00,November,Sunday,1,2018-11-04,05:30:00,00:10:53,00:11:01,00:10:49,00:09:59,00:12:37
2018-11-04 05:45:00,November,Sunday,1,2018-11-04,05:45:00,00:10:49,00:10:53,00:10:47,00:09:58,00:12:35
2018-11-04 06:00:00,November,Sunday,1,2018-11-04,06:00:00,00:10:52,00:10:55,00:10:48,00:09:56,00:12:32
2018-11-04 06:15:00,November,Sunday,1,2018-11-04,06:15:00,00:10:54,00:10:57,00:10:48,00:09:58,00:12:30
2018-11-04 06:30:00,November,Sunday,1,2018-11-04,06:30:00,00:10:53,00:10:57,00:10:41,00:09:52,00:12:26
2018-11-04 06:45:00,November,Sunday,1,2018-11-04,06:45:00,00:10:46,00:10:56,00:10:41,00:09:54,00:12:24
2018-11-04 07:00:00,November,Sunday,1,2018-11-04,07:00:00,00:10:46,00:10:54,00:10:43,00:09:55,00:12:24
2018-11-04 07:15:00,November,Sunday,1,2018-11-04,07:15:00,00:10:45,00:10:49,00:10:42,00:09:53,00:12:23
2018-11-04 07:30:00,November,Sunday,1,2018-11-04,07:30:00,00:10:41,00:10:47,00:10:38,00:09:52,00:12:24
2018-11-04 07:45:00,November,Sunday,1,2018-11-04,07:45:00,00:10:42,00:10:47,00:10:39,00:09:49,00:12:24
2018-11-04 08:00:00,November,Sunday,1,2018-11-04,08:00:00,00:10:43,00:10:47,00:10:39,00:09:49,00:12:24
2018-11-04 08:15:00,November,Sunday,1,2018-11-04,08:15:00,00:10:44,00:10:48,00:10:41,00:09:51,00:12:25
2018-11-04 08:30:00,November,Sunday,1,2018-11-04,08:30:00,00:10:47,00:10:51,00:10:42,00:09:52,00:12:25
2018-11-04 08:45:00,November,Sunday,1,2018-11-04,08:45:00,00:10:47,00:10:48,00:10:39,00:09:50,00:12:23
2018-11-04 09:00:00,November,Sunday,1,2018-11-04,09:00:00,00:10:47,00:10:49,00:10:38,00:09:50,00:12:17
2018-11-04 09:15:00,November,Sunday,1,2018-11-04,09:15:00,00:10:47,00:10:49,00:10:39,00:09:50,00:12:19
2018-11-04 09:30:00,November,Sunday,1,2018-11-04,09:30:00,00:10:47,00:10:47,00:10:39,00:09:49,00:12:21
2018-11-04 09:45:00,November,Sunday,1,2018-11-04,09:45:00,00:10:48,00:10:49,00:10:41,00:09:48,00:12:21
2018-11-04 10:00:00,November,Sunday,1,2018-11-04,10:00:00,00:10:49,00:10:50,00:10:41,00:09:55,00:12:21
2018-11-04 10:15:00,November,Sunday,1,2018-11-04,10:15:00,00:10:50,00:10:57,00:10:41,00:09:54,00:12:30
2018-11-04 10:30:00,November,Sunday,1,2018-11-04,10:30:00,00:10:50,00:10:49,00:10:39,00:09:51,00:12:34
2018-11-04 10:45:00,November,Sunday,1,2018-11-04,10:45:00,nan:nan:nan,nan:nan:nan,nan:nan:nan,nan:nan:nan,nan:nan:nan
2018-11-04 11:00:00,November,Sunday,1,2018-11-04,11:00:00,00:10:50,00:10:49,00:10:39,00:09:51,00:12:34
2018-11-04 11:15:00,November,Sunday,1,2018-11-04,11:15:00,00:10:45,00:10:43,00:10:36,00:09:46,00:12:32
2018-11-04 11:30:00,November,Sunday,1,2018-11-04,11:30:00,00:10:39,00:10:38,00:10:34,00:09:46,00:12:13
2018-11-04 11:45:00,November,Sunday,1,2018-11-04,11:45:00,00:10:42,00:10:36,00:10:33,00:09:50,00:12:19
2018-11-04 12:00:00,November,Sunday,1,2018-11-04,12:00:00,00:10:33,00:10:36,00:10:30,00:09:43,00:12:02
2018-11-04 12:15:00,November,Sunday,1,2018-11-04,12:15:00,00:10:45,00:10:48,00:10:42,00:09:50,00:12:24
2018-11-04 12:30:00,November,Sunday,1,2018-11-04,12:30:00,00:10:51,00:10:57,00:10:52,00:09:56,00:12:32
2018-11-04 12:45:00,November,Sunday,1,2018-11-04,12:45:00,00:10:57,00:11:05,00:10:54,00:10:09,00:12:53
2018-11-04 13:00:00,November,Sunday,1,2018-11-04,13:00:00,00:10:56,00:11:05,00:10:31,00:09:57,00:12:29
2018-11-04 13:15:00,November,Sunday,1,2018-11-04,13:15:00,00:10:40,00:10:53,00:10:17,00:09:46,00:12:23
2018-11-04 13:30:00,November,Sunday,1,2018-11-04,13:30:00,00:10:38,00:10:56,00:10:18,00:09:44,00:12:21
2018-11-04 13:45:00,November,Sunday,1,2018-11-04,13:45:00,00:10:39,00:10:56,00:10:15,00:09:44,00:12:28
2018-11-04 14:00:00,November,Sunday,1,2018-11-04,14:00:00,00:10:17,00:10:42,00:10:01,00:09:02,00:11:45
2018-11-04 14:15:00,November,Sunday,1,2018-11-04,14:15:00,00:10:22,00:10:43,00:10:06,00:09:06,00:11:41
2018-11-04 14:30:00,November,Sunday,1,2018-11-04,14:30:00,00:10:29,00:10:48,00:10:13,00:09:14,00:11:55
2018-11-04 14:45:00,November,Sunday,1,2018-11-04,14:45:00,00:10:37,00:10:58,00:10:11,00:09:08,00:11:57
2018-11-04 15:00:00,November,Sunday,1,2018-11-04,15:00:00,00:10:45,00:10:53,00:10:17,00:09:14,00:11:43
2018-11-04 15:15:00,November,Sunday,1,2018-11-04,15:15:00,00:10:41,00:10:53,00:10:15,00:09:04,00:11:35
2018-11-04 15:30:00,November,Sunday,1,2018-11-04,15:30:00,00:10:50,00:11:00,00:10:21,00:09:16,00:11:42
2018-11-04 15:45:00,November,Sunday,1,2018-11-04,15:45:00,00:10:53,00:11:02,00:10:24,00:09:13,00:11:52
2018-11-04 16:00:00,November,Sunday,1,2018-11-04,16:00:00,00:10:51,00:10:59,00:10:33,00:09:22,00:11:37
2018-11-04 16:15:00,November,Sunday,1,2018-11-04,16:15:00,00:10:56,00:11:05,00:10:39,00:09:23,00:11:45
2018-11-04 16:30:00,November,Sunday,1,2018-11-04,16:30:00,00:10:56,00:11:05,00:10:34,00:09:22,00:11:41
2018-11-04 16:45:00,November,Sunday,1,2018-11-04,16:45:00,00:10:56,00:11:11,00:10:39,00:09:26,00:11:44
2018-11-04 17:00:00,November,Sunday,1,2018-11-04,17:00:00,00:10:53,00:11:04,00:10:37,00:09:36,00:11:47
2018-11-04 17:15:00,November,Sunday,1,2018-11-04,17:15:00,00:10:58,00:11:08,00:10:36,00:09:39,00:12:08
2018-11-04 17:30:00,November,Sunday,1,2018-11-04,17:30:00,00:11:01,00:11:15,00:10:42,00:09:46,00:12:21
2018-11-04 17:45:00,November,Sunday,1,2018-11-04,17:45:00,00:11:18,00:11:19,00:11:00,00:09:57,00:12:39
2018-11-04 18:00:00,November,Sunday,1,2018-11-04,18:00:00,00:11:30,00:11:15,00:11:10,00:10:07,00:13:02
2018-11-04 18:15:00,November,Sunday,1,2018-11-04,18:15:00,00:11:36,00:11:40,00:11:15,00:10:09,00:12:59
2018-11-04 18:30:00,November,Sunday,1,2018-11-04,18:30:00,00:12:17,00:12:28,00:11:46,00:10:20,00:13:18
2018-11-04 18:45:00,November,Sunday,1,2018-11-04,18:45:00,00:12:25,00:12:33,00:12:04,00:10:53,00:13:18
2018-11-04 19:00:00,November,Sunday,1,2018-11-04,19:00:00,00:12:00,00:12:13,00:11:58,00:10:45,00:13:19
2018-11-04 19:15:00,November,Sunday,1,2018-11-04,19:15:00,00:12:04,00:12:19,00:12:02,00:10:50,00:13:31
2018-11-04 19:30:00,November,Sunday,1,2018-11-04,19:30:00,00:11:51,00:12:17,00:11:52,00:10:51,00:13:22
2018-11-04 19:45:00,November,Sunday,1,2018-11-04,19:45:00,00:11:28,00:12:05,00:11:24,00:10:13,00:13:01
2018-11-04 20:00:00,November,Sunday,1,2018-11-04,20:00:00,00:11:19,00:11:54,00:11:13,00:10:09,00:12:44
2018-11-04 20:15:00,November,Sunday,1,2018-11-04,20:15:00,00:11:24,00:11:56,00:11:24,00:10:20,00:12:40
2018-11-04 20:30:00,November,Sunday,1,2018-11-04,20:30:00,00:11:10,00:11:35,00:11:09,00:10:11,00:12:37
2018-11-04 20:45:00,November,Sunday,1,2018-11-04,20:45:00,00:11:12,00:11:44,00:11:08,00:10:15,00:12:48
2018-11-04 21:00:00,November,Sunday,1,2018-11-04,21:00:00,00:11:18,00:11:41,00:11:17,00:10:12,00:12:43
2018-11-04 21:15:00,November,Sunday,1,2018-11-04,21:15:00,00:11:13,00:11:28,00:11:16,00:10:11,00:12:33
2018-11-04 21:30:00,November,Sunday,1,2018-11-04,21:30:00,00:11:42,00:11:51,00:11:34,00:10:21,00:13:05
2018-11-04 21:45:00,November,Sunday,1,2018-11-04,21:45:00,00:11:26,00:11:44,00:11:18,00:10:08,00:13:14
2018-11-04 22:00:00,November,Sunday,1,2018-11-04,22:00:00,00:11:20,00:11:42,00:11:23,00:10:14,00:12:54
2018-11-04 22:15:00,November,Sunday,1,2018-11-04,22:15:00,00:11:28,00:11:49,00:11:25,00:10:17,00:13:03
2018-11-04 22:30:00,November,Sunday,1,2018-11-04,22:30:00,00:11:29,00:11:45,00:11:17,00:10:21,00:12:58
2018-11-04 22:45:00,November,Sunday,1,2018-11-04,22:45:00,00:11:34,00:11:38,00:11:19,00:10:20,00:12:37
2018-11-04 23:00:00,November,Sunday,1,2018-11-04,23:00:00,00:11:59,00:11:58,00:11:36,00:10:40,00:12:59
2018-11-04 23:15:00,November,Sunday,1,2018-11-04,23:15:00,00:11:55,00:12:01,00:11:32,00:10:42,00:13:02
2018-11-04 23:30:00,November,Sunday,1,2018-11-04,23:30:00,00:11:57,00:11:49,00:11:36,00:10:43,00:12:52
2018-11-04 23:45:00,November,Sunday,1,2018-11-04,23:45:00,00:11:39,00:11:34,00:11:23,00:10:11,00:12:36
